"pattern";"theoretical_intensity";"my_kappa";"my_mu";"my_scale";"expect_disp_ind"
"int3_disp14";3;0,017320508;173,2050808;1,875;13,9781847
"int3_disp15";3;0,017320508;173,2050808;1,790625;14,97140722
"int3_disp16";3;0,017320508;173,2050808;1,725;15,96528819
"int3_disp17";3;0,017320508;173,2050808;1,6625;16,9697125
"int3_disp18";3;0,017320508;173,2050808;1,60625;17,95681199
"int3_disp19";3;0,017320508;173,2050808;1,553125;19,00172757
"int3_disp20";3;0,017320508;173,2050808;1,5;19,99905214
"int3_disp21";3;0,017320508;173,2050808;1,459375;21,04022151
"int3_disp22";3;0,017320508;173,2050808;1,421875;21,95353055
"int3_disp23";3;0,017320508;173,2050808;1,38125;23,03862751
"int3_disp24";3;0,017320508;173,2050808;1,34375;24,00435323
"int3_disp25";3;0,017320508;173,2050808;1,3125;25,0117394
"int3_disp26";3;0,017320508;173,2050808;1,28125;25,97150906
"int3_disp27";3;0,017320508;173,2050808;1,25;27,01883322
"int3_disp28";3;0,017320508;173,2050808;1,221875;27,9625178
"int3_disp29";3;0,017320508;173,2050808;1,19375;29,00390371
"int3_disp30";3;0,017320508;173,2050808;1,16875;30,02709878
"int3_disp31";3;0,017320508;173,2050808;1,14609375;31,00439091
"int3_disp32";3;0,017320508;173,2050808;1,1234375;31,96835578
"int3_disp33";3;0,017320508;173,2050808;1,09921875;33,04494078
"int3_disp34";3;0,017320508;173,2050808;1,078125;34,01156761
"int3_disp35";3;0,017320508;173,2050808;1,059375;35,02461405
"int3_disp36";3;0,017320508;173,2050808;1,040625;35,97453256
"int3_disp37";3;0,017320508;173,2050808;1,021875;37,03154937
"int3_disp38";3;0,017320508;173,2050808;1,003125;38,03379946
"int3_disp39";3;0,017320508;173,2050808;0,98515625;38,98014745
"int3_disp40";3;0,017320508;173,2050808;0,970117188;40,00017044
"int3_disp41";3;0,017320508;173,2050808;0,953320313;41,04144685
"int3_disp42";3;0,017320508;173,2050808;0,937109375;41,99922329
"int3_disp43";3;0,017320508;173,2050808;0,921875;43,02374667
"int3_disp44";3;0,017320508;173,2050808;0,90859375;43,96258026
"int3_disp45";3;0,017320508;173,2050808;0,89375;44,9583945
"int3_disp46";3;0,017320508;173,2050808;0,88125;45,96952773
"int3_disp47";3;0,017320508;173,2050808;0,8671875;47,01079631
"int3_disp48";3;0,017320508;173,2050808;0,8546875;47,99042222
"int3_disp49";3;0,017320508;173,2050808;0,8421875;48,97398324
"int3_disp50";3;0,017320508;173,2050808;0,8296875;50,02778627
"int3_disp51";3;0,017320508;173,2050808;0,81706543;51,04336617
"int3_disp52";3;0,017320508;173,2050808;0,80546875;52,00683628
"int3_disp53";3;0,017320508;173,2050808;0,794921875;52,96706153
"int3_disp54";3;0,017320508;173,2050808;0,7828125;54,03292395
"int3_disp55";3;0,017320508;173,2050808;0,772998047;54,97506676
"int3_disp56";3;0,017320508;173,2050808;0,7625;56,00296828
"int3_disp57";3;0,017320508;173,2050808;0,7515625;57,00704208
"int3_disp58";3;0,017320508;173,2050808;0,74375;57,96697974
"int3_disp59";3;0,017320508;173,2050808;0,73125;59,023749
"int3_disp60";3;0,017320508;173,2050808;0,721875;60,02646656
"int3_disp61";3;0,017320508;173,2050808;0,7125;61,01373016
"int3_disp62";3;0,017320508;173,2050808;0,703125;62,02846337
"int3_disp63";3;0,017320508;173,2050808;0,694140625;63,03411041
"int3_disp64";3;0,017320508;173,2050808;0,684375;64,03918993
"int3_disp65";3;0,017320508;173,2050808;0,675;64,98519697
"int3_disp66";3;0,017320508;173,2050808;0,66875;65,96191
"int3_disp67";3;0,017320508;173,2050808;0,66015625;66,99174694
"int3_disp68";3;0,017320508;173,2050808;0,6515625;67,9611209
"int3_disp69";3;0,017320508;173,2050808;0,64296875;68,98297052
"int3_disp70";3;0,017320508;173,2050808;0,633984375;69,99110054
"int3_disp71";3;0,017320508;173,2050808;0,62578125;71,03999771
"int3_disp72";3;0,017320508;173,2050808;0,618969727;71,96813167
"int3_disp73";3;0,017320508;173,2050808;0,6109375;72,99409731
"int3_disp74";3;0,017320508;173,2050808;0,602734375;74,02783543
"int3_disp75";3;0,017320508;173,2050808;0,593701172;74,96277927
"int4_disp2";4;0,02;200;7,75;1,985645964
"int4_disp3";4;0,02;200;5,5;2,993722083
"int4_disp4";4;0,02;200;4,4375;3,971688736
"int4_disp5";4;0,02;200;3,8125;4,953502062
"int4_disp6";4;0,02;200;3,375;6,005268713
"int4_disp7";4;0,02;200;3,0625;7,035740787
"int4_disp8";4;0,02;200;2,84375;7,966756751
"int4_disp9";4;0,02;200;2,625;9,041289527
"int4_disp10";4;0,02;200;2,47265625;10,00070319
"int4_disp11";4;0,02;200;2,328125;11,03245578
"int4_disp12";4;0,02;200;2,21875;11,98646231
"int4_disp13";4;0,02;200;2,11328125;13,02009656
"int4_disp14";4;0,02;200;2,021484375;14,01222449
"int4_disp15";4;0,02;200;1,94375;14,95963289
"int4_disp16";4;0,02;200;1,875;15,96318505
"int4_disp17";4;0,02;200;1,80625;16,95703266
"int4_disp18";4;0,02;200;1,740625;17,96304687
"int4_disp19";4;0,02;200;1,6875;18,95888628
"int4_disp20";4;0,02;200;1,6375;20,00740016
"int4_disp21";4;0,02;200;1,5875;21,03134592
"int4_disp22";4;0,02;200;1,55;21,95274962
"int4_disp23";4;0,02;200;1,503125;22,95870535
"int4_disp24";4;0,02;200;1,4640625;23,95519491
"int4_disp25";4;0,02;200;1,43125;24,98431469
"int4_disp26";4;0,02;200;1,39375;25,98020888
"int4_disp27";4;0,02;200;1,3625;27,03682583
"int4_disp28";4;0,02;200;1,3375;27,95130455
"int4_disp29";4;0,02;200;1,304296875;28,99969969
"int4_disp30";4;0,02;200;1,2765625;29,96512105
"int4_disp31";4;0,02;200;1,2515625;30,97164887
"int4_disp32";4;0,02;200;1,225;31,96184905
"int4_disp33";4;0,02;200;1,20234375;32,95774503
"int4_disp34";4;0,02;200;1,18125;33,97219279
"int4_disp35";4;0,02;200;1,1609375;34,95718238
"int4_disp36";4;0,02;200;1,1375;35,99912075
"int4_disp37";4;0,02;200;1,1171875;37,00971855
"int4_disp38";4;0,02;200;1,100170898;37,97863318
"int4_disp39";4;0,02;200;1,08125;39,02194169
"int4_disp40";4;0,02;200;1,0625;39,97988385
"int4_disp41";4;0,02;200;1,044921875;41,03672351
"int4_disp42";4;0,02;200;1,03125;42,03742116
"int4_disp43";4;0,02;200;1,01484375;42,9748182
"int4_disp44";4;0,02;200;0,99765625;43,99562966
"int4_disp45";4;0,02;200;0,984375;44,97878196
"int4_disp46";4;0,02;200;0,9703125;46,02747499
"int4_disp47";4;0,02;200;0,956445313;46,99040975
"int4_disp48";4;0,02;200;0,940625;48,01985013
"int4_disp49";4;0,02;200;0,9296875;48,9713308
"int4_disp50";4;0,02;200;0,91640625;50,01061835
"int4_disp51";4;0,02;200;0,903515625;51,0263101
"int4_disp52";4;0,02;200;0,8921875;51,95075552
"int4_disp53";4;0,02;200;0,8796875;52,99287333
"int4_disp54";4;0,02;200;0,86875;54,04048973
"int4_disp55";4;0,02;200;0,856640625;55,03796032
"int4_disp56";4;0,02;200;0,846875;56,03130322
"int4_disp57";4;0,02;200;0,835742188;56,95811908
"int4_disp58";4;0,02;200;0,823828125;57,95538249
"int4_disp59";4;0,02;200;0,815429688;58,95221037
"int4_disp60";4;0,02;200;0,804296875;59,96613915
"int4_disp61";4;0,02;200;0,7953125;60,98446441
"int4_disp62";4;0,02;200;0,784765625;62,04456979
"int4_disp63";4;0,02;200;0,77578125;62,98579153
"int4_disp64";4;0,02;200;0,76640625;64,0365968
"int4_disp65";4;0,02;200;0,758007813;64,96136315
"int4_disp66";4;0,02;200;0,75;65,95184743
"int4_disp67";4;0,02;200;0,73984375;66,96450604
"int4_disp68";4;0,02;200;0,731533051;68,00111969
"int4_disp69";4;0,02;200;0,72265625;69,04651432
"int4_disp70";4;0,02;200;0,715625;69,97628692
"int4_disp71";4;0,02;200;0,70625;71,0006496
"int4_disp72";4;0,02;200;0,698339844;72,03160891
"int4_disp73";4;0,02;200;0,690625;73,03598398
"int4_disp74";4;0,02;200;0,683599854;74,03108731
"int4_disp75";4;0,02;200;0,6765625;74,96443776
"int5_disp2";5;0,02236068;223,6067977;8;2,026586715
"int5_disp3";5;0,02236068;223,6067977;5,75;3,014538214
"int5_disp4";5;0,02236068;223,6067977;4,6875;3,971217143
"int5_disp5";5;0,02236068;223,6067977;4,03125;4,974988015
"int5_disp6";5;0,02236068;223,6067977;3,59375;5,989767297
"int5_disp7";5;0,02236068;223,6067977;3,25;7,023821877
"int5_disp8";5;0,02236068;223,6067977;2,9921875;8,026840473
"int5_disp9";5;0,02236068;223,6067977;2,796875;8,986036151
"int5_disp10";5;0,02236068;223,6067977;2,625;10,00040187
"int5_disp11";5;0,02236068;223,6067977;2,484375;10,97003682
"int5_disp12";5;0,02236068;223,6067977;2,359375;11,97272419
"int5_disp13";5;0,02236068;223,6067977;2,25;12,99884279
"int5_disp14";5;0,02236068;223,6067977;2,1484375;14,01701081
"int5_disp15";5;0,02236068;223,6067977;2,06640625;14,97605127
"int5_disp16";5;0,02236068;223,6067977;1,9875;15,9916711
"int5_disp17";5;0,02236068;223,6067977;1,91875;17,02277607
"int5_disp18";5;0,02236068;223,6067977;1,859375;17,9548827
"int5_disp19";5;0,02236068;223,6067977;1,79375;19,04740469
"int5_disp20";5;0,02236068;223,6067977;1,7375;19,9990818
"int5_disp21";5;0,02236068;223,6067977;1,6875;21,02476976
"int5_disp22";5;0,02236068;223,6067977;1,646875;21,98078591
"int5_disp23";5;0,02236068;223,6067977;1,603125;22,97057917
"int5_disp24";5;0,02236068;223,6067977;1,5609375;23,98633676
"int5_disp25";5;0,02236068;223,6067977;1,525;25,01028633
"int5_disp26";5;0,02236068;223,6067977;1,4875;26,03134547
"int5_disp27";5;0,02236068;223,6067977;1,45625;27,03173989
"int5_disp28";5;0,02236068;223,6067977;1,425;28,04065035
"int5_disp29";5;0,02236068;223,6067977;1,39375;29,00090505
"int5_disp30";5;0,02236068;223,6067977;1,36875;29,95817259
"int5_disp31";5;0,02236068;223,6067977;1,3375;30,99908363
"int5_disp32";5;0,02236068;223,6067977;1,312060547;32,03576396
"int5_disp33";5;0,02236068;223,6067977;1,2875;32,95697714
"int5_disp34";5;0,02236068;223,6067977;1,2625;34,04813898
"int5_disp35";5;0,02236068;223,6067977;1,240625;34,96778316
"int5_disp36";5;0,02236068;223,6067977;1,2203125;35,99721711
"int5_disp37";5;0,02236068;223,6067977;1,200097656;37,00171495
"int5_disp38";5;0,02236068;223,6067977;1,175;37,96600813
"int5_disp39";5;0,02236068;223,6067977;1,1609375;39,00528317
"int5_disp40";5;0,02236068;223,6067977;1,140612793;40,04523354
"int5_disp41";5;0,02236068;223,6067977;1,121875;41,0327995
"int5_disp42";5;0,02236068;223,6067977;1,10625;41,96549489
"int5_disp43";5;0,02236068;223,6067977;1,0875;42,99961509
"int5_disp44";5;0,02236068;223,6067977;1,073242188;43,97476187
"int5_disp45";5;0,02236068;223,6067977;1,057617188;44,95208002
