"";"y";"x";"count"
"207";7;3;5
"208";8;3;2
"209";9;3;3
"210";10;3;0
"211";11;3;0
"212";12;3;0
"213";13;3;0
"214";14;3;0
"215";15;3;0
"216";16;3;0
"217";17;3;0
"218";18;3;0
"219";19;3;0
"220";20;3;0
"221";21;3;0
"222";22;3;0
"223";23;3;1
"224";24;3;1
"225";25;3;1
"226";26;3;4
"227";27;3;5
"228";28;3;15
"229";29;3;11
"230";30;3;10
"231";31;3;14
"232";32;3;6
"233";33;3;3
"234";34;3;7
"235";35;3;7
"236";36;3;4
"237";37;3;11
"238";38;3;11
"239";39;3;12
"240";40;3;6
"241";41;3;5
"242";42;3;5
"243";43;3;4
"244";44;3;4
"245";45;3;9
"246";46;3;1
"247";47;3;4
"248";48;3;10
"249";49;3;20
"250";50;3;8
"251";51;3;0
"252";52;3;1
"253";53;3;6
"254";54;3;3
"255";55;3;0
"256";56;3;0
"257";57;3;0
"258";58;3;0
"259";59;3;1
"260";60;3;0
"261";61;3;0
"262";62;3;0
"263";63;3;1
"264";64;3;0
"265";65;3;5
"266";66;3;0
"267";67;3;0
"268";68;3;2
"269";69;3;0
"270";70;3;7
"271";71;3;1
"272";72;3;0
"273";73;3;4
"274";74;3;8
"275";75;3;2
"276";76;3;6
"277";77;3;5
"278";78;3;7
"279";79;3;4
"280";80;3;2
"281";81;3;9
"282";82;3;2
"283";83;3;10
"284";84;3;1
"285";85;3;1
"286";86;3;1
"287";87;3;0
"288";88;3;0
"289";89;3;1
"290";90;3;3
"291";91;3;0
"292";92;3;0
"293";93;3;0
"294";94;3;0
"295";95;3;0
"296";96;3;0
"297";97;3;0
"298";98;3;1
"299";99;3;0
"300";100;3;0
"301";1;4;0
"302";2;4;1
"303";3;4;4
"304";4;4;3
"305";5;4;8
"306";6;4;6
"307";7;4;8
"308";8;4;13
"309";9;4;7
"310";10;4;0
"311";11;4;0
"312";12;4;0
"313";13;4;0
"314";14;4;0
"315";15;4;0
"316";16;4;0
"317";17;4;0
"318";18;4;0
"319";19;4;0
"320";20;4;0
"321";21;4;0
"322";22;4;0
"323";23;4;4
"324";24;4;2
"325";25;4;0
"326";26;4;1
"327";27;4;0
"328";28;4;6
"329";29;4;7
"330";30;4;3
"331";31;4;1
"332";32;4;1
"333";33;4;3
"334";34;4;5
"335";35;4;8
