"species";"sampling_method";"sample_size";"var_ratio"
"SANMIN";"SBS";961;0,256
"SANMIN";"SBS";1024;0,263
"SANMIN";"SBS";1089;0,243
"SANMIN";"SBS";1156;0,237
"SANMIN";"SBS";1225;0,256
"SANMIN";"SBS";1296;0,27
"SANMIN";"SBS";1369;0,249
"SANMIN";"SBS";1444;0,274
"SANMIN";"SBS";1521;0,276
"SANMIN";"SBS";1600;0,231
"SANMIN";"SBS";1681;0,258
"SANMIN";"SBS";1764;0,225
"SANMIN";"SBS";1849;0,238
"SANMIN";"SBS";1936;0,205
"SANMIN";"SBS";2025;0,213
"SANMIN";"SBS";2116;0,263
"SANMIN";"SBS";2209;0,23
"SANMIN";"SBS";2304;0,238
"SANMIN";"SBS";2401;0,225
"SANMIN";"SBS";2500;0,222
"SANMIN";"SBS";2601;0,204
"SANMIN";"SBS";2704;0,255
"SANMIN";"SBS";2809;0,24
"SANMIN";"SBS";2916;0,215
"SANMIN";"SBS";3025;0,233
"SANMIN";"SBS";3136;0,243
"SANMIN";"SBS";3249;0,239
"SANMIN";"SBS";3364;0,24
"SANMIN";"SBS";3481;0,267
"SANMIN";"SBS";3600;0,246
"LIMGIR";"SBS";9;1,009
"LIMGIR";"SBS";16;0,955
"LIMGIR";"SBS";25;0,87
"LIMGIR";"SBS";36;0,868
"LIMGIR";"SBS";49;0,713
"LIMGIR";"SBS";64;0,87
"LIMGIR";"SBS";81;0,79
"LIMGIR";"SBS";100;0,805
"LIMGIR";"SBS";121;0,752
"LIMGIR";"SBS";144;0,828
"LIMGIR";"SBS";169;0,673
"LIMGIR";"SBS";196;0,626
"LIMGIR";"SBS";225;0,64
"LIMGIR";"SBS";256;0,582
"LIMGIR";"SBS";289;0,642
"LIMGIR";"SBS";324;0,601
"LIMGIR";"SBS";361;0,59
"LIMGIR";"SBS";400;0,542
"LIMGIR";"SBS";441;0,608
"LIMGIR";"SBS";484;0,549
"LIMGIR";"SBS";529;0,61
"LIMGIR";"SBS";576;0,42
"LIMGIR";"SBS";625;0,452
"LIMGIR";"SBS";676;0,536
"LIMGIR";"SBS";729;0,477
"LIMGIR";"SBS";784;0,338
"LIMGIR";"SBS";841;0,367
"LIMGIR";"SBS";900;0,366
"LIMGIR";"SBS";961;0,373
"LIMGIR";"SBS";1024;0,406
"LIMGIR";"SBS";1089;0,419
"LIMGIR";"SBS";1156;0,486
"LIMGIR";"SBS";1225;0,442
"LIMGIR";"SBS";1296;0,405
"LIMGIR";"SBS";1369;0,507
"LIMGIR";"SBS";1444;0,435
"LIMGIR";"SBS";1521;0,443
"LIMGIR";"SBS";1600;0,356
"LIMGIR";"SBS";1681;0,439
"LIMGIR";"SBS";1764;0,46
"LIMGIR";"SBS";1849;0,436
"LIMGIR";"SBS";1936;0,471
"LIMGIR";"SBS";2025;0,399
"LIMGIR";"SBS";2116;0,436
"LIMGIR";"SBS";2209;0,405
"LIMGIR";"SBS";2304;0,402
"LIMGIR";"SBS";2401;0,462
"LIMGIR";"SBS";2500;0,396
"LIMGIR";"SBS";2601;0,382
"LIMGIR";"SBS";2704;0,395
"LIMGIR";"SBS";2809;0,375
"LIMGIR";"SBS";2916;0,427
"LIMGIR";"SBS";3025;0,38
"LIMGIR";"SBS";3136;0,397
"LIMGIR";"SBS";3249;0,392
"LIMGIR";"SBS";3364;0,346
"LIMGIR";"SBS";3481;0,455
"LIMGIR";"SBS";3600;0,369
"BELSYL";"SBS";9;0,913
"BELSYL";"SBS";16;0,705
"BELSYL";"SBS";25;0,967
"BELSYL";"SBS";36;0,974
"BELSYL";"SBS";49;0,802
"BELSYL";"SBS";64;1,007
"BELSYL";"SBS";81;0,951
"BELSYL";"SBS";100;1,026
"BELSYL";"SBS";121;0,926
"BELSYL";"SBS";144;1,069
"BELSYL";"SBS";169;0,864
"BELSYL";"SBS";196;0,858
"BELSYL";"SBS";225;0,888
"BELSYL";"SBS";256;0,862
"BELSYL";"SBS";289;0,769
"BELSYL";"SBS";324;0,773
"BELSYL";"SBS";361;0,833
"BELSYL";"SBS";400;0,763
"BELSYL";"SBS";441;0,742
"BELSYL";"SBS";484;0,824
"BELSYL";"SBS";529;0,681
"BELSYL";"SBS";576;0,69
"BELSYL";"SBS";625;0,741
"BELSYL";"SBS";676;0,776
"BELSYL";"SBS";729;0,836
"BELSYL";"SBS";784;0,738
"BELSYL";"SBS";841;0,78
"BELSYL";"SBS";900;0,809
"BELSYL";"SBS";961;0,887
"BELSYL";"SBS";1024;0,753
"BELSYL";"SBS";1089;0,788
"BELSYL";"SBS";1156;0,8
"BELSYL";"SBS";1225;0,711
"BELSYL";"SBS";1296;0,873
"BELSYL";"SBS";1369;0,756
"BELSYL";"SBS";1444;0,816
"BELSYL";"SBS";1521;0,983
"BELSYL";"SBS";1600;0,854
"BELSYL";"SBS";1681;0,82
"BELSYL";"SBS";1764;0,843
"BELSYL";"SBS";1849;0,871
"BELSYL";"SBS";1936;0,805
"BELSYL";"SBS";2025;0,763
"BELSYL";"SBS";2116;0,923
"BELSYL";"SBS";2209;0,911
"BELSYL";"SBS";2304;0,773
"BELSYL";"SBS";2401;0,816
"BELSYL";"SBS";2500;0,733
"BELSYL";"SBS";2601;0,845
"BELSYL";"SBS";2704;0,862
"BELSYL";"SBS";2809;0,902
"BELSYL";"SBS";2916;0,886
"BELSYL";"SBS";3025;0,794
"BELSYL";"SBS";3136;0,904
"BELSYL";"SBS";3249;0,766
"BELSYL";"SBS";3364;0,731
"BELSYL";"SBS";3481;0,85
"BELSYL";"SBS";3600;0,922
