"";"y";"x";"count"
"503";3;6;0
"504";4;6;1
"505";5;6;0
"506";6;6;0
"507";7;6;0
"508";8;6;0
"509";9;6;0
"510";10;6;0
"511";11;6;0
"512";12;6;1
"513";13;6;3
"514";14;6;1
"515";15;6;0
"516";16;6;0
"517";17;6;0
"518";18;6;0
"519";19;6;0
"520";20;6;0
"521";21;6;0
"522";22;6;0
"523";23;6;0
"524";24;6;0
"525";25;6;0
"526";26;6;0
"527";27;6;0
"528";28;6;0
"529";29;6;0
"530";30;6;0
"531";31;6;0
"532";32;6;0
"533";33;6;0
"534";34;6;0
"535";35;6;3
"536";36;6;0
"537";37;6;0
"538";38;6;0
"539";39;6;0
"540";40;6;0
"541";41;6;0
"542";42;6;1
"543";43;6;0
"544";44;6;1
"545";45;6;0
"546";46;6;0
"547";47;6;1
"548";48;6;0
"549";49;6;0
"550";50;6;1
"551";51;6;0
"552";52;6;0
"553";53;6;0
"554";54;6;0
"555";55;6;0
"556";56;6;0
"557";57;6;0
"558";58;6;1
"559";59;6;1
"560";60;6;0
"561";61;6;2
"562";62;6;0
"563";63;6;4
"564";64;6;5
"565";65;6;5
"566";66;6;9
"567";67;6;4
"568";68;6;0
"569";69;6;1
"570";70;6;5
"571";71;6;3
"572";72;6;2
"573";73;6;3
"574";74;6;6
"575";75;6;5
"576";76;6;13
"577";77;6;13
"578";78;6;14
"579";79;6;16
"580";80;6;7
"581";81;6;4
"582";82;6;3
"583";83;6;2
"584";84;6;1
"585";85;6;3
"586";86;6;1
"587";87;6;0
"588";88;6;0
"589";89;6;1
"590";90;6;1
"591";91;6;0
"592";92;6;0
"593";93;6;0
"594";94;6;0
"595";95;6;0
"596";96;6;0
"597";97;6;0
"598";98;6;1
"599";99;6;0
"600";100;6;0
"601";1;7;0
"602";2;7;0
"603";3;7;0
"604";4;7;0
"605";5;7;1
"606";6;7;0
"607";7;7;2
"608";8;7;2
"609";9;7;0
"610";10;7;0
"611";11;7;0
"612";12;7;0
"613";13;7;1
"614";14;7;0
"615";15;7;0
"616";16;7;1
"617";17;7;0
"618";18;7;0
"619";19;7;1
"620";20;7;0
"621";21;7;0
"622";22;7;0
"623";23;7;0
"624";24;7;0
"625";25;7;0
"626";26;7;0
"627";27;7;0
"628";28;7;0
"629";29;7;0
"630";30;7;0
"631";31;7;0
"632";32;7;2
"633";33;7;0
"634";34;7;4
"635";35;7;0
"636";36;7;0
"637";37;7;0
"638";38;7;0
"639";39;7;0
"640";40;7;0
"641";41;7;0
"642";42;7;1
"643";43;7;1
"644";44;7;1
"645";45;7;1
"646";46;7;0
"647";47;7;0
"648";48;7;0
"649";49;7;1
"650";50;7;1
"651";51;7;0
"652";52;7;0
"653";53;7;0
"654";54;7;0
"655";55;7;1
"656";56;7;0
"657";57;7;0
"658";58;7;1
"659";59;7;0
"660";60;7;1
"661";61;7;6
"662";62;7;3
"663";63;7;5
"664";64;7;6
"665";65;7;6
"666";66;7;9
"667";67;7;6
"668";68;7;6
"669";69;7;5
"670";70;7;3
"671";71;7;1
"672";72;7;5
"673";73;7;5
"674";74;7;7
"675";75;7;8
"676";76;7;11
"677";77;7;18
"678";78;7;13
"679";79;7;13
"680";80;7;12
"681";81;7;4
"682";82;7;3
"683";83;7;2
"684";84;7;3
"685";85;7;1
"686";86;7;2
"687";87;7;3
"688";88;7;1
"689";89;7;1
"690";90;7;0
"691";91;7;0
"692";92;7;0
"693";93;7;1
"694";94;7;1
"695";95;7;1
"696";96;7;0
"697";97;7;0
"698";98;7;1
"699";99;7;0
"700";100;7;0
"701";1;8;0
"702";2;8;1
"703";3;8;2
"704";4;8;0
"705";5;8;0
