"pattern";"intensity";"pop_size";"dispersion_index";"num_pattern";"nsim";"sample_size";"mean_random";"median_random";"var_random";"mean_syst";"median_syst";"var_syst";"mean_BAS";"median_BAS";"var_BAS";"prop_zero_random";"prop_zero_syst";"prop_zero_BAS";"mean_estim_vtextbook_random";"mean_estim_vtextbook_syst";"mean_estim_vtextbook_BAS";"mean_estim_v8_syst";"mean_estim_vw_syst";"mean_estim_vstr2_syst";"mean_estim_vnbh_BAS";"mean_estim_vZIP_syst";"mean_estim_vZIP_BAS";"biais_random";"biais_syst";"biais_BAS";"MSE_random";"MSE_syst";"MSE_BAS";"RMSE_random";"RMSE_syst";"RMSE_BAS";"var_ratio_syst";"var_ratio_BAS";"coverage_vtextbook_random";"coverage_vtextbook_syst";"coverage_vtextbook_BAS";"coverage_v8_syst";"coverage_vw_syst";"coverage_vstr2_syst";"coverage_vnbh_BAS";"coverage_vZIP_syst";"coverage_vZIP_BAS"
"BELSYL";0,0789;789;2,868155;"pattern_3";1000;169;0,0782189349112426;0,0769230769230769;0,00126203858702721;0,0799112426035503;0,0769230769230769;0,00162762023253603;0,0796331360946746;0,0769230769230769;0,00122387840731036;0,958254437869822;0,957508875739645;0,957656804733728;0,00129279286639623;0,00134649956033952;0,00134458345446088;0,000894541320524217;0,000927824225735186;0,00142822221813634;0,00098068343911636;0,00114397801162975;0,00115599651577837;-0,000681065088757399;0,0010112426035503;0,000733136094674555;0,0012612403980953;0,00162701522390673;0,00122319201743636;0,0355139465294313;0,0403362767729835;0,0349741621405912;1,28967548953472;0,969763064212849;0,864;0,837;0,878;0,768;0,763;0,838;0,837;0,845;0,881
"BELSYL";0,0789;789;2,868155;"pattern_3";1000;196;0,07875;0,0714285714285714;0,00107682065134689;0,0796326530612245;0,076530612244898;0,000953429898036312;0,0791581632653061;0,076530612244898;0,00103804801782207;0,95815306122449;0,957632653061224;0,958127551020408;0,00112981090683369;0,00116068915131516;0,00113989089594079;0,000823891091366649;0,000775435217603185;0,00119621838331023;0,000829739763729526;0,00098013121968541;0,000984781424113857;-0,000149999999999997;0,000732653061224497;0,00025816326530613;0,00107576633069554;0,000953013248646397;0,0010370766180758;0,0327988769730847;0,0308709126629971;0,0322036739841249;0,885411973520158;0,963993415731465;0,898;0,888;0,874;0,811;0,835;0,893;0,846;0,886;0,878
"BELSYL";0,0789;789;2,868155;"pattern_3";1000;225;0,07992;0,0755555555555556;0,000992116580778309;0,0789688888888889;0,0755555555555556;0,00117103129796463;0,0787688888888889;0,0755555555555556;0,000836318214510807;0,957462222222222;0,957835555555556;0,957995555555556;0,00100251693165785;0,00100511170282187;0,000984035975308642;0,00069386117658784;0,000702573228126831;0,00105274273328967;0,000716919367690775;0,000842692392790759;0,000840004533103359;0,00102000000000001;6,88888888888961e-05;-0,00013111111111111;0,000992164864197531;0,00116986501234568;0,000835499086419753;0,0314986486090678;0,034203289495978;0,0289050010624417;1,18033638450631;0,842963650355204;0,892;0,862;0,898;0,782;0,797;0,86;0,864;0,859;0,901
"BELSYL";0,0789;789;2,868155;"pattern_3";1000;256;0,08020703125;0,078125;0,00091804620477411;0,07798046875;0,078125;0,00069881329999433;0,078390625;0,078125;0,000740813078703704;0,95756640625;0,95848046875;0,958796875;0,000874890060029871;0,000858862529009651;0,000875249403147978;0,000630841030290921;0,000610756328124713;0,000882392920704304;0,000637978426605854;0,000724058223628092;0,000740745172187134;0,00130703125000001;-0,000919531249999994;-0,000509374999999992;0,000918836489257812;0,000698960024414062;0,000740331728515625;0,0303123158016311;0,0264378521142332;0,0272090376256792;0,761196219057707;0,80694530934419;0,887;0,914;0,908;0,861;0,858;0,917;0,863;0,909;0,903
"BELSYL";0,0789;789;2,868155;"pattern_3";1000;289;0,0800622837370242;0,0761245674740484;0,000788050607329591;0,078439446366782;0,0761245674740484;0,000727220425727388;0,0782318339100346;0,0761245674740484;0,000582833033581947;0,957477508650519;0,95843598615917;0,958010380622837;0,000777724718858131;0,000755333831386717;0,000739385521904671;0,000539212671844649;0,000536999828920156;0,000763566317274065;0,00054004424951811;0,000644193497229707;0,000635205648356571;0,00116228373702422;-0,000460553633217994;-0,000668166089965394;0,000788613460207612;0,000726705314950731;0,000582696646472145;0,0280822623769456;0,0269574723397935;0,0241391103082144;0,922809295448253;0,739588331207497;0,91;0,88;0,923;0,8;0,808;0,88;0,888;0,871;0,918
"BELSYL";0,0789;789;2,868155;"pattern_3";1000;324;0,0796759259259259;0,0771604938271605;0,000642262966746658;0,0789166666666667;0,0740740740740741;0,000515502156248613;0,0796172839506173;0,0771604938271605;0,000571581946219959;0,957746913580247;0,958003086419753;0,957969135802469;0,000683698556780544;0,000665503061327773;0,000692139162034029;0,000448586825932309;0,000432689903081974;0,000677206324200582;0,000504066943769563;0,000570250727822108;0,000583082589101705;0,00077592592592593;1,66666666666648e-05;0,000717283950617278;0,000642222764822436;0,000514986931870142;0,000571524860539552;0,0253421144505038;0,0226933235086918;0,0239065861331047;0,802634096840202;0,889950029526489;0,922;0,938;0,92;0,832;0,837;0,936;0,888;0,944;0,914
"BELSYL";0,0789;789;2,868155;"pattern_3";1000;361;0,0781191135734072;0,074792243767313;0,000599709592112965;0,0787340720221607;0,0775623268698061;0,000591348563440552;0,0788808864265928;0,0775623268698061;0,000515762146074989;0,958459833795014;0,958138504155125;0,958047091412742;0,000594135649511591;0,000612723832843517;0,000603526181390566;0,000391715214687577;0,000395436546086336;0,00062171111581944;0,000441944782906054;0,000509185564643967;0,000510449212302571;-0,000780886426592797;-0,000165927977839334;-1,91135734071979e-05;0,000599719666132089;0,000590784746970941;0,000515246749257602;0,0244891744681622;0,024306063995862;0,0226990473204847;0,986058204200211;0,860019837698105;0,889;0,894;0,922;0,8;0,802;0,897;0,889;0,885;0,916
"BELSYL";0,0789;789;2,868155;"pattern_3";1000;400;0,0803275;0,0775;0,000531442936686687;0,08;0,08;0,000520870870870871;0,078245;0,0775;0,000403548523523524;0,957335;0,9574525;0,9583425;0,00055439177443609;0,000545081864661654;0,00053415837593985;0,000315801816072231;0,000334406908016271;0,000551654722557535;0,000391852625852266;0,000461199397693122;0,000451387204747065;0,0014275;0,0011;-0,000655000000000003;0,00053294925;0,00052156;0,000403574;0,0230856936218083;0,0228376881491976;0,0200891513011376;0,980106865505207;0,759344975096426;0,924;0,869;0,933;0,732;0,774;0,869;0,904;0,869;0,932
"BELSYL";0,0789;789;2,868155;"pattern_3";1000;441;0,0778253968253968;0,0770975056689342;0,000487311005865518;0,0788367346938775;0,0793650793650794;0,000368243310798111;0,0783038548752834;0,0770975056689342;0,000378363750497789;0,958224489795918;0,957759637188209;0,958342403628118;0,000477197582488778;0,000488127006494208;0,000489484052401006;0,00027877216156146;0,000277301306723113;0,000489315803216096;0,000359172411103047;0,000408273431344309;0,000409002025374693;-0,00107460317460317;-6,32653061224536e-05;-0,000596145124716549;0,000487978466842519;0,000367879069986271;0,000378340775757015;0,0220902346488787;0,0191801738778946;0,0194509839277352;0,755663849914635;0,776431777537579;0,909;0,94;0,935;0,877;0,876;0,934;0,906;0,926;0,931
"BELSYL";0,0789;789;2,868155;"pattern_3";1000;484;0,0789276859504132;0,0785123966942149;0,000455421779097587;0,0786342975206612;0,0785123966942149;0,000288714705929206;0,0788574380165289;0,0785123966942149;0,000361065213666641;0,957981404958678;0,958185950413223;0,957896694214876;0,000447051886676189;0,000443172489395262;0,000447047765580873;0,000261931173225566;0,000255232951540145;0,000445245650340121;0,000329218868671315;0,00036826800766598;0,000370479196791355;2,76859504132199e-05;-0,000265702479338839;-4,25619834710789e-05;0,000454967123830339;0,000288496589030804;0,000360705959975412;0,0213299583644774;0,0169851873416458;0,0189922605283155;0,633950151662249;0,792814990934531;0,908;0,957;0,925;0,89;0,91;0,957;0,888;0,952;0,922
"BELSYL";0,0789;789;2,868155;"pattern_3";1000;529;0,0792249527410208;0,0775047258979206;0,000364664034033426;0,0786937618147448;0,0793950850661626;0,000320786189758213;0,0787977315689981;0,0793950850661626;0,00031625331757907;0,957782608695652;0,957996219281664;0,958156899810964;0,000404176864094254;0,000402408760063751;0,000403706544832601;0,000239618553015735;0,000237554157423788;0,000405626253624933;0,00029855795488114;0,000338102806601718;0,000337807032154218;0,00032495274102079;-0,000206238185255198;-0,00010226843100189;0,000364404964283289;0,000320507937757512;0,000315947523093471;0,0190893940260892;0,0179027354825321;0,0177749127450312;0,87967597519861;0,867245705810631;0,932;0,93;0,935;0,839;0,852;0,928;0,907;0,912;0,928
